CI,Nombres,"Apellido Paterno","Apellido Materno",Email,Sexo,Colegio,Ciudad,Carrera,"Monto Pago","Metodo Pago","Nro Recibo",Materia,Grupo,"CI Docente","Nombre Docente","Apellido Docente","Profesion Docente","Hora Semanal Docente","Nota P1","Nota P2","Nota P3","Promedio Final","Estado Materia"
11000000,Luis,Vargas,Vargas,luis.vargas.11000000@test.com,M,Evangelico,"La Paz","Ingenieria de Sistemas",700,PayPal,REC-TEST-11000000,MAT100,M003,11500008,Carmen,Vargas,"Licenciado en Matematicas",40,18,18,34,70,Aprobado
11000000,Luis,Vargas,Vargas,luis.vargas.11000000@test.com,M,Evangelico,"La Paz","Ingenieria de Sistemas",700,PayPal,REC-TEST-11000000,FIS100,M003,11500009,Elena,Rodriguez,Fisico,18,0,0,27,27,Reprobado
11000000,Luis,Vargas,Vargas,luis.vargas.11000000@test.com,M,Evangelico,"La Paz","Ingenieria de Sistemas",700,PayPal,REC-TEST-11000000,INF100,M003,11500010,Laura,Vargas,"Ingeniero Informatico",40,19,6,15,40,Reprobado
11000000,Luis,Vargas,Vargas,luis.vargas.11000000@test.com,M,Evangelico,"La Paz","Ingenieria de Sistemas",700,PayPal,REC-TEST-11000000,LIN100,M003,11500011,Pedro,Vargas,"Licenciado en Filologia",11,19,2,10,31,Reprobado
11000001,Jose,Vargas,Rodriguez,jose.vargas.11000001@test.com,M,"Domingo Savio",Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-11000001,MAT100,N001,11500016,Fernando,Rojas,"Licenciado en Matematicas",30,3,20,23,46,Reprobado
11000001,Jose,Vargas,Rodriguez,jose.vargas.11000001@test.com,M,"Domingo Savio",Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-11000001,FIS100,N001,11500017,Daniela,Fernandez,Fisico,28,4,5,17,26,Reprobado
11000001,Jose,Vargas,Rodriguez,jose.vargas.11000001@test.com,M,"Domingo Savio",Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-11000001,INF100,N001,11500018,Juan,Vargas,"Ingeniero Informatico",30,6,23,30,59,Reprobado
11000001,Jose,Vargas,Rodriguez,jose.vargas.11000001@test.com,M,"Domingo Savio",Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-11000001,LIN100,N001,11500019,Valeria,Rojas,"Licenciado en Filologia",12,2,30,34,66,Aprobado
11000002,Gabriela,Sanchez,Lopez,gabriela.sanchez.11000002@test.com,F,Evangelico,Potosi,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-11000002,MAT100,M001,11500000,Valeria,Perez,"Licenciado en Matematicas",22,7,5,21,33,Reprobado
11000002,Gabriela,Sanchez,Lopez,gabriela.sanchez.11000002@test.com,F,Evangelico,Potosi,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-11000002,FIS100,M001,11500001,Elena,Rojas,Fisico,11,28,7,6,41,Reprobado
